cidade,idsensor,tipo_sangue,nota,data_coleta,latitude,longitude,hora_coleta,hora_entrega,local_coleta,local_entrega,cfp_doador,cpf_consumidor,transportador,testado,temperatura
Fortaleza,1,A,10,2018-12-31,123456,98765,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA95,KK8988SFGJKL4,CARRO 0383344,SIM,12
Caucaia,2,A,10,2018-12-31,123457,98766,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA96,KK8988SFGJKL5,CARRO 0383345,SIM,13
Maracanau,3,A,10,2018-12-31,123458,98767,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA97,KK8988SFGJKL6,CARRO 0383346,SIM,14
Fortaleza,4,A,10,2018-12-31,123459,98768,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA98,KK8988SFGJKL7,CARRO 0383347,SIM,15
Caucaia,5,A,10,2018-12-31,123460,98769,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA99,KK8988SFGJKL8,CARRO 0383348,SIM,16
Maracanau,6,A,5.70257633407159,2018-12-31,123461,98770,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA100,KK8988SFGJKL9,CARRO 0383349,SIM,17
Fortaleza,7,A,10,2018-12-31,123462,98771,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA101,KK8988SFGJKL10,CARRO 0383350,SIM,18
Caucaia,8,A,10,2018-12-31,123463,98772,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA102,KK8988SFGJKL11,CARRO 0383351,SIM,19
Maracanau,9,A,10,2018-12-31,123464,98773,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA103,KK8988SFGJKL12,CARRO 0383352,SIM,20
Fortaleza,10,A,10,2018-12-31,123465,98774,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA104,KK8988SFGJKL13,CARRO 0383353,SIM,21
Caucaia,11,A,8.11523635625888,2018-12-31,123466,98775,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA105,KK8988SFGJKL14,CARRO 0383354,SIM,22
Maracanau,12,A,10,2018-12-31,123467,98776,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA106,KK8988SFGJKL15,CARRO 0383355,SIM,23
Fortaleza,13,A,10,2018-12-31,123468,98777,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA107,KK8988SFGJKL16,CARRO 0383356,SIM,24
Caucaia,14,A,10,2018-12-31,123469,98778,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA108,KK8988SFGJKL17,CARRO 0383357,SIM,25
Maracanau,15,A,10,2018-12-31,123470,98779,03:00:00 AM,04:00:00 AM,HGF,HEMOCE,9945JJKAHA109,KK8988SFGJKL18,CARRO 0383358,SIM,26
Fortaleza,16,A,10,2018-12-31,123471,98780,03:00:00 AM,04:00:00 AM,HOSPITAL DO CORACAO,HEMOCE,9945JJKAHA110,KK8988SFGJKL19,CARRO 0383359,SIM,27
